Site,Tunnel Name,Tunnel Type,VMS,MSC,CLV Setup,MSC firmware,Alternative name,MSC ETH IP,MSC Mask,MSC Gateway,MSC NTP,SSPC IP,SSPC Mask,SSPC Gateway,SSPC NTP
CHAM,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.79.60.231,255.255.255.0,10.79.60.1,10.79.48.1,10.79.51.146,255.255.254.0,10.79.50.1,10.79.48.1
CHAM,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.79.60.232,255.255.255.0,10.79.60.1,10.79.48.1,10.79.51.147,255.255.254.0,10.79.50.1,10.79.48.1
CHAR,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.12.231,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.146,255.255.254.0,10.65.2.1,10.65.0.1
CHAR,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.12.232,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.147,255.255.254.0,10.65.2.1,10.65.0.1
CHAR,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.12.233,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.148,255.255.254.0,10.65.2.1,10.65.0.1
CHAR,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.12.234,255.255.255.0,10.65.12.1,10.65.0.1,10.65.3.149,255.255.254.0,10.65.2.1,10.65.0.1
CHAT,I1,UDS,,,,,,,,,,,,,
CHIC,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.95.248.231,255.255.255.0,10.95.248.1,10.95.240.1,10.95.243.146,255.255.254.0,10.95.242.1,10.95.240.1
CHIC,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.95.248.232,255.255.255.0,10.95.248.1,10.95.240.1,10.95.243.147,255.255.254.0,10.95.242.1,10.95.240.1
CHIC,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,C,10.95.248.233,255.255.255.0,10.95.248.1,10.95.240.1,10.95.243.148,255.255.254.0,10.95.242.1,10.95.240.1
CHIC,I4,UDS,,,,,,10.95.248.237,255.255.254.0,10.95.248.1,10.95.248.1,10.95.243.149,255.255.254.0,10.95.242.1,10.95.240.1
CHND,I1,UDS,,,,,,10.70.152.231,255.255.254.0,10.70.152.1,10.70.152.1,10.70.147.146,255.255.254.0,10.70.146.1,10.70.146.1
CLEV,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.67.216.231,255.255.255.0,10.67.216.1,10.67.208.1,10.67.211.146,255.255.254.0,10.67.210.1,10.67.208.1
COLO,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,Red,10.64.140.231,255.255.255.0,10.64.140.1,10.64.128.1,10.64.131.146,255.255.254.0,10.64.130.1,10.64.128.1
